"key", "en", "zh-s"
"dialogue_23", "ALLEN: Thank you, Baxter.", "ALLEN: 谢谢你，Baxter。"
"dialogue_24", "BRYCE: Listen, Paul. Squash?", "BRYCE: 听着，Paul。壁球？"
"dialogue_25", "ALLEN: Call me.", "ALLEN: 给我打电话。"
"dialogue_26", "PRICE: How about Friday?", "PRICE: 星期五怎么样？"
"dialogue_27", "ALLEN: No can do. Got a res at eight-thirty at Dorsia. Great sea urchin ceviche.", "ALLEN: 不行。八点半在Dorsia有预订。很棒的海胆酸橙汁。"
"dialogue_28", "PRICE (whispering): Jesus. Dorsia? On a Friday night? How'd he swing that?", "PRICE (低声说): 天啊。星期五晚上去Dorsia？他是怎么做到的？"
"dialogue_29", "McDERMOTT (whispering): I think he's lying.", "McDERMOTT (低声说): 我认为他在撒谎。"
"dialogue_30", "PRICE (suddenly enthused): What's that, a gram?", "PRICE (突然兴奋): 那是一克吗？"
"dialogue_31", "BATEMAN: New card. What do you think?", "BATEMAN: 新卡。你觉得怎么样？"
"dialogue_32", "McDERMOTT: Whoa. Very nice. Take a look.", "McDERMOTT: 哇。非常好。看看。"
"dialogue_33", "BATEMAN: Picked them up from the printers yesterday.", "BATEMAN: 昨天从印刷厂拿到的。"
"dialogue_34", "VAN PATTEN: Good coloring.", "VAN PATTEN: 颜色不错。"
"dialogue_35", "BATEMAN: That's bone. And the lettering is something called Silian Rail.", "BATEMAN: 那是骨头。字体叫做Silian Rail。"
"dialogue_36", "VAN PATTEN: It is very cool, Bateman. But that's nothing.", "VAN PATTEN: 很酷，Bateman。但那不算什么。"
"dialogue_37", "VAN PATTEN: Look at this.", "VAN PATTEN: 看这个。"
"dialogue_38", "PRICE: That's really nice.", "PRICE: 真的很好。"
"dialogue_39", "VAN PATTEN: Eggshell with Romalian type. What do you think?", "VAN PATTEN: 蛋壳色和Romalian字体。你觉得怎么样？"
"dialogue_40", "BATEMAN (barely able to breathe, his voice a croak): Nice.", "BATEMAN (几乎无法呼吸，声音嘶哑): 不错。"
"dialogue_41", "PRICE (holding the card up to the light): Jesus. This is really super. How'd a nitwit like you get so tasteful?", "PRICE (把卡片举到光线下): 天啊。这真的超级棒。像你这样的笨蛋怎么会有这么好的品味？"
"dialogue_42", "BATEMAN (V.O.): I can't believe that Price prefers Van Patten's card to mine.", "BATEMAN (V.O.): 我无法相信Price更喜欢Van Patten的卡片而不是我的。"
"dialogue_43", "PRICE: But wait. You ain't seen nothin' yet.", "PRICE: 但等等。你还没看到最棒的。"
"dialogue_44", "PRICE: Raised lettering, pale nimbus, white...", "PRICE: 凸起的字母，淡淡的白色光环...",
"dialogue_45", "BATEMAN (choking with anxiety): Impressive. Very nice. Let's see Paul Allen's card.", "BATEMAN (因焦虑而窒息): 令人印象深刻。非常好。让我们看看Paul Allen的卡片。",
"dialogue_46", "BATEMAN (V.O.): Look at that subtle off-white coloring.", "BATEMAN (V.O.): 看看那微妙的淡白色。",
"dialogue_47", "The tasteful thickness of it.", "它的优雅厚度。"
"dialogue_48", "Oh my God. It even has a watermark.", "天啊。它甚至有一个水印。",
"dialogue_49", "CARRUTHERS: Is something wrong? Patrick...you're sweating.", "CARRUTHERS: 有什么问题吗？Patrick...你在出汗。",
"dialogue_50", "helloo", "你妈了个臭逼的"
"dialogue_51", "Hehe I stole from Paul Allen", "嘿嘿我从Paul Allen那里偷来的"
"dialogue_52", "BATEMAN: That's amazing.", "BATEMAN: 很吊"
"dialogue_53", "ALLEN: Impressive, very nice.", "ALLEN: 真不错"
"dialogue_54", "CARRUTHERS: You what?", "CARRUTHERS: 你说什么？"
"dialogue_55", "ALLEN: Very cool Bateman, but that's trash", "ALLEN: 很不错Bateman，但那是垃圾"
"dialogue_56", "ALLEN: Look at this.", "ALLEN: 看这个。"
"dialogue_57", "ALLEN: Subtle off-white coloring, the tasteful thickness of it...", "ALLEN: 微妙的淡白色，优雅的厚度..."
"dialogue_58", "ALLEN: And, guess what, it even has a watermark..", "ALLEN: 而且，你猜怎么着，他还有水印"
"dialogue_59", "BATEMAN (choking with anxiety): Impressive. Very nice. Let's see Van Patten's card.", "BATEMAN (因焦虑而窒息): 令人印象深刻。非常好。让我们看看Van Patten的卡片。",
"dialogue_60", "Bateman is shocked.", "Bateman很震惊。"
"dialogue_61", "This is to test the dialogue's loop function.", "这是为了测试它的循环功能。"
"dialogue_62", "Node Ended. Go back to beginning.", "回到开头"
